index,value
2995,3
2996,18
2997,12
2998,20
2999,17
3000,11
3001,22
3002,4
3003,24
3004,3
3005,15
3006,30
3007,0
3008,24
3009,15
3010,23
3011,26
3012,8
3013,20
3014,15
3015,19
3016,4
3017,12
3018,16
3019,3
3020,31
3021,4
3022,16
3023,24
3024,7
3025,23
3026,8
3027,16
3028,14
3029,15
3030,19
3031,8
3032,28
3033,6
3034,27
3035,27
3036,4
3037,28
3038,10
3039,23
3040,15
3041,0
3042,16
3043,14
3044,23
3045,1
3046,24
3047,20
3048,6
3049,27
3050,1
3051,29
3052,14
3053,2
3054,27
3055,13
3056,21
3057,10
3058,26
3059,23
3060,13
3061,25
3062,2
3063,30
3064,31
3065,1
3066,29
3067,6
3068,18
3069,9
3070,21
3071,21
3072,10
3073,18
3074,5
3075,29
3076,3
3077,10
3078,30
3079,5
3080,25
3081,11
3082,22
3083,30
3084,9
3085,17
3086,15
3087,30
3088,18
3089,13
3090,21
3091,3
3092,26
3093,4
3094,4
3095,25
3096,3
3097,22
3098,12
3099,16
3100,17
3101,15
3102,22
3103,8
3104,24
3105,7
3106,15
3107,26
3108,0
3109,28
3110,15
3111,19
3112,26
3113,12
3114,16
3115,11
3116,23
3117,4
3118,8
3119,16
3120,7
3121,31
3122,0
3123,16
3124,28
3125,7
3126,27
3127,8
3128,20
3129,14
3130,11
3131,19
3132,12
3133,28
3134,2
3135,27
3136,31
3137,4
3138,24
3139,6
3140,23
3141,9
3142,0
3143,20
3144,14
3145,19
3146,1
3147,28
3148,20
3149,2
3150,27
3151,5
3152,28
3153,10
3154,2
3155,31
3156,13
3157,16
3158,10
3159,30
3160,23
3161,9
3162,25
3163,6
3164,26
3165,1
3166,5
3167,29
3168,2
3169,18
3170,13
3171,21
3172,17
3173,10
3174,22
3175,13
3176,25
3177,3
3178,14
3179,30
3180,1
3181,25
3182,15
3183,22
3184,26
3185,9
3186,21
3187,15
3188,18
3189,4
3190,13
3191,17
3192,3
3193,30
3194,4
3195,17
3196,25
3197,7
3198,22
3199,8
3200,17
3201,15
3202,15
3203,18
3204,8
3205,28
3206,7
3207,27
3208,26
3209,4
3210,28
3211,11
3212,19
3213,30
3214,0
3215,16
3216,15
3217,23
3218,0
3219,8
3220,20
3221,7
3222,27
3223,0
3224,28
3225,14
3226,3
3227,27
3228,12
3229,20
3230,10
3231,27
3232,23
3233,12
3234,24
3235,2
3236,31
3237,31
3238,0
3239,28
3240,6
3241,19
3242,9
3243,4
3244,20
3245,10
3246,19
3247,5
3248,28
3249,2
3250,10
3251,31
3252,5
3253,24
3254,10
3255,6
3256,31
3257,9
3258,16
3259,14
3260,30
3261,19
3262,13
3263,20
3264,2
3265,26
3266,5
3267,5
3268,24
3269,2
3270,22
3271,13
3272,17
3273,25
3274,14
3275,22
3276,9
3277,25
3278,7
3279,14
3280,26
3281,1
3282,29
3283,15
3284,18
3285,26
3286,13
3287,17
3288,11
3289,22
3290,4
3291,9
3292,17
3293,7
3294,30
3295,0
3296,17
3297,29
3298,7
3299,26
3300,8
3301,21
3302,15
3303,11
3304,18
3305,12
3306,29
3307,3
3308,27
3309,30
3310,4
3311,25
3312,7
3313,23
3314,8
3315,0
3316,20
3317,15
3318,19
3319,0
3320,28
3321,20
3322,3
3323,27
3324,4
3325,28
3326,10
3327,3
3328,31
3329,12
3330,16
3331,10
3332,31
3333,23
3334,8
3335,24
3336,6
3337,27
3338,1
3339,4
3340,28
3341,2
3342,19
3343,13
3344,20
3345,16
3346,10
3347,23
3348,5
3349,24
3350,2
3351,14
3352,31
3353,1
3354,24
3355,14
3356,22
3357,27
3358,9
3359,20
3360,14
3361,26
3362,7
3363,13
3364,16
3365,2
3366,30
3367,5
3368,17
3369,24
3370,6
3371,22
3372,9
3373,17
3374,15
3375,14
3376,18
3377,9
3378,29
3379,7
3380,26
3381,26
3382,5
3383,29
3384,11
3385,18
3386,30
3387,1
3388,17
3389,15
3390,22
3391,0
3392,9
3393,21
3394,7
3395,26
3396,0
3397,21
3398,31
3399,3
3400,26
3401,12
3402,21
3403,11
3404,11
3405,22
3406,12
3407,25
3408,3
3409,31
3410,30
3411,0
3412,29
3413,7
3414,19
3415,8
3416,4
3417,21
3418,11
3419,19
3420,4
3421,28
3422,16
3423,3
3424,31
3425,4
3426,24
3427,10
3428,7
3429,31
3430,8
3431,16
3432,14
3433,31
3434,19
3435,8
3436,20
3437,2
3438,27
3439,5
3440,4
3441,24
3442,2
3443,23
3444,13
3445,16
3446,16
3447,14
3448,23
3449,9
3450,24
3451,6
3452,14
3453,27
3454,1
3455,28
3456,14
3457,18
3458,27
3459,13
3460,20
3461,10
3462,22
3463,5
3464,9
3465,16
3466,6
3467,30
3468,1
3469,17
3470,28
3471,6
3472,18
3473,9
3474,21
3475,14
3476,10
3477,18
3478,13
3479,29
3480,2
3481,26
3482,30
3483,5
3484,25
3485,11
3486,22
3487,24
3488,1
3489,21
3490,15
3491,18
3492,0
3493,29
3494,21
3495,3
3496,26
3497,4
3498,29
3499,11
3500,3
3501,30
3502,12
3503,17
3504,11
3505,15
3506,22
3507,8
3508,25
3509,7
3510,31
3511,26
3512,4
3513,29
3514,3
3515,19
3516,12
3517,4
3518,17
3519,11
3520,23
3521,4
3522,24
3523,16
3524,15
3525,31
3526,0
3527,24
3528,14
3529,7
3530,27
3531,8
3532,20
3533,14
3534,27
3535,19
3536,12
3537,16
3538,2
3539,31
3540,5
3541,0
3542,24
3543,6
3544,23
3545,9
3546,16
3547,20
3548,14
3549,19
3550,9
3551,28
3552,6
3553,10
3554,27
3555,5
3556,28
3557,10
3558,18
3559,31
3560,13
3561,16
3562,14
3563,22
3564,1
3565,9
3566,20
3567,6
3568,26
3569,1
3570,21
3571,28
3572,2
3573,18
3574,13
3575,21
3576,10
3577,10
3578,22
3579,13
3580,25
3581,2
3582,30
3583,30
3584,1
3585,25
3586,15
3587,22
3588,8
3589,5
3590,21
3591,11
3592,18
3593,4
3594,29
3595,17
3596,3
3597,30
3598,4
3599,25
3600,11
3601,7
3602,30
3603,8
3604,17
3605,15
3606,15
3607,18
3608,8
3609,29
3610,7
3611,27
3612,30
3613,4
3614,25
3615,3
3616,23
3617,12
3618,0
3619,17
3620,15
3621,23
3622,0
3623,24
3624,23
3625,15
3626,27
3627,0
3628,28
3629,14
3630,3
3631,27
3632,12
3633,20
3634,10
3635,27
3636,23
3637,8
3638,16
3639,6
3640,31
3641,1
3642,0
3643,28
3644,6
3645,19
3646,9
3647,20
3648,20
3649,10
3650,19
3651,13
3652,28
3653,2
3654,10
3655,31
3656,5
3657,24
3658,10
3659,22
3660,31
3661,9
3662,16
3663,14
3664,18
3665,1
3666,13
3667,20
3668,2
3669,26
3670,5
3671,21
3672,24
3673,2
3674,30
3675,13
3676,17
3677,10
3678,14
3679,22
3680,9
3681,25
3682,6
3683,30
3684,26
3685,1
3686,29
3687,2
3688,18
3689,12
3690,5
3691,17
3692,11
3693,22
3694,4
3695,25
3696,17
3697,7
3698,30
3699,0
3700,25
3701,15
3702,7
3703,26
3704,8
3705,21
3706,15
3707,27
3708,18
3709,12
3710,29
3711,3
3712,31
3713,4
3714,0
3715,25
3716,7
3717,23
3718,8
3719,16
3720,21
3721,15
3722,19
3723,0
3724,28
3725,7
3726,11
3727,27
3728,4
3729,28
3730,11
3731,19
3732,31
3733,12
3734,16
3735,10
3736,31
3737,1
3738,8
3739,20
3740,6
3741,27
3742,1
3743,20
3744,28
3745,2
3746,19
3747,13
3748,20
3749,10
3750,10
3751,23
3752,13
3753,24
3754,2
3755,30
3756,31
3757,1
3758,24
3759,14
3760,22
3761,27
3762,5
3763,20
3764,10
3765,18
3766,5
3767,13
3768,16
3769,2
3770,30
3771,5
3772,17
3773,26
3774,6
3775,30
3776,9
3777,17
3778,14
3779,14
3780,18
3781,9
3782,29
3783,6
3784,26
3785,26
3786,5
3787,25
3788,2
3789,22
3790,12
3791,1
3792,17
3793,14
3794,22
3795,0
3796,25
3797,21
3798,15
3799,26
3800,0
3801,29
3802,15
3803,3
3804,26
3805,12
3806,21
3807,11
3808,27
3809,22
3810,12
3811,17
3812,7
3813,31
3814,0
3815,0
3816,29
3817,7
3818,19
3819,8
3820,20
3821,21
3822,11
3823,19
3824,12
3825,28
3826,3
3827,11
3828,31
3829,4
3830,24
3831,11
3832,23
3833,31
3834,8
3835,16
3836,15
3837,19
3838,1
3839,12
3840,20
3841,2
3842,27
3843,5
3844,20
3845,24
3846,2
3847,23
3848,13
3849,16
3850,10
3851,14
3852,23
3853,9
3854,24
3855,6
3856,30
3857,27
3858,1
3859,28
3860,2
3861,18
3862,13
3863,5
3864,16
3865,10
3866,22
3867,5
3868,25
3869,16
3870,6
3871,30
3872,1
3873,25
3874,14
3875,6
3876,26
3877,9
3878,21
3879,14
3880,26
3881,18
3882,13
3883,29
3884,2
3885,30
3886,4
3887,1
3888,25
3889,6
3890,22
3891,8
3892,17
3893,21
3894,14
3895,18
3896,0
3897,29
3898,7
3899,10
3900,26
3901,4
3902,29
3903,11
3904,18
3905,30
3906,12
3907,17
3908,11
3909,31
3910,0
3911,8
3912,21
3913,7
3914,27
3915,0
3916,20
3917,29
3918,3
3919,19
3920,12
3921,20
3922,11
3923,11
3924,23
3925,12
3926,24
3927,3
3928,31
3929,31
3930,0
3931,24
3932,15
3933,23
3934,27
3935,4
3936,20
3937,11
3938,19
3939,5
3940,12
3941,16
3942,3
3943,31
3944,5
3945,16
3946,26
3947,7
3948,31
3949,9
3950,16
3951,14
3952,14
3953,19
3954,9
3955,28
3956,6
3957,26
3958,27
3959,5
3960,24
3961,2
3962,22
3963,13
3964,1
3965,16
3966,14
3967,22
3968,1
3969,25
3970,20
3971,14
3972,26
3973,1
3974,29
3975,14
3976,2
3977,26
3978,13
3979,21
3980,10
3981,26
3982,22
3983,13
3984,17
3985,6
3986,30
3987,0
3988,1
3989,29
3990,6
3991,18
3992,8
3993,21
3994,21
3995,10
3996,18
3997,12
3998,29
3999,3
4000,10
4001,30
4002,4
4003,25
4004,11
4005,22
4006,30
4007,8
4008,17
4009,15
4010,18
4011,0
4012,12
4013,21
4014,3
4015,26
4016,4
4017,20
4018,25
4019,3
4020,30
4021,12
4022,16
4023,11
4024,15
4025,23
4026,8
4027,24
4028,7
4029,31
4030,27
4031,0
4032,28
4033,3
4034,19
4035,13
4036,4
4037,16
4038,11
4039,23
4040,5
4041,24
4042,16
4043,7
4044,31
4045,1
4046,24
4047,14
4048,7
4049,27
4050,9
4051,20
4052,14
4053,27
4054,19
4055,13
4056,28
4057,2
4058,31
4059,5
4060,1
4061,24
4062,6
4063,23
4064,9
4065,17
4066,20
4067,14
4068,18
4069,1
4070,29
4071,6
4072,10
4073,26
4074,5
4075,29
4076,10
4077,18
4078,30
4079,13
4080,17
4081,10
4082,30
4083,0
4084,9
4085,21
4086,6
4087,26
4088,0
4089,21
4090,29
4091,2
4092,18
4093,12
4094,21
4095,11
