index,value
799,15
800,27
801,0
802,28
803,15
804,19
805,27
806,12
807,20
808,11
809,23
810,5
811,8
812,16
813,6
814,31
815,1
816,16
817,28
818,6
819,19
820,9
821,20
822,14
823,10
824,19
825,13
826,28
827,2
828,26
829,31
830,5
831,24
832,10
833,22
834,9
835,1
836,20
837,14
838,18
839,1
840,29
841,20
842,2
843,26
844,5
845,29
846,10
847,2
848,30
849,13
850,17
851,10
852,30
853,22
854,9
855,25
856,6
857,30
858,2
859,5
860,29
861,2
862,18
863,12
864,21
865,17
866,10
867,22
868,4
869,25
870,3
871,14
872,30
873,0
874,25
875,15
876,22
877,26
878,8
879,21
880,15
881,27
882,6
883,12
884,17
885,3
886,31
887,4
888,0
889,25
890,7
891,23
892,8
893,16
894,15
895,15
896,19
897,8
898,28
899,7
900,27
901,27
902,4
903,28
904,11
905,19
906,31
907,0
908,16
909,15
910,23
911,1
912,8
913,20
914,7
915,27
916,1
917,20
918,28
919,3
920,27
921,13
922,20
923,10
924,10
925,23
926,13
927,24
928,2
929,30
930,31
931,1
932,28
933,6
934,18
935,9
936,5
937,20
938,10
939,18
940,5
941,29
942,16
943,10
944,30
945,5
946,25
947,10
948,6
949,30
950,9
951,17
952,14
953,30
954,18
955,9
956,21
957,2
958,26
959,4
960,5
961,25
962,2
963,22
964,12
965,17
966,17
967,14
968,22
969,8
970,25
971,7
972,14
973,26
974,0
975,29
976,15
977,18
978,26
979,12
980,21
981,11
982,22
983,4
984,8
985,17
986,7
987,31
988,0
989,16
990,29
991,7
992,19
993,8
994,20
995,15
996,11
997,19
998,12
999,28
1000,3
1001,27
1002,31
1003,4
1004,24
1005,11
1006,23
1007,9
1008,0
1009,20
1010,15
1011,19
1012,1
1013,28
1014,20
1015,3
1016,27
1017,5
1018,28
1019,10
1020,3
1021,31
1022,13
1023,16
1024,10
1025,15
1026,23
1027,9
1028,24
1029,6
1030,30
1031,27
1032,5
1033,28
1034,2
1035,18
1036,13
1037,5
1038,16
1039,10
1040,22
1041,5
1042,25
1043,2
1044,14
1045,30
1046,1
1047,25
1048,14
1049,22
1050,26
1051,9
1052,21
1053,14
1054,26
1055,18
1056,13
1057,17
1058,2
1059,30
1060,4
1061,1
1062,25
1063,6
1064,22
1065,8
1066,17
1067,21
1068,14
1069,18
1070,8
1071,29
1072,7
1073,10
1074,26
1075,4
1076,29
1077,11
1078,18
1079,30
1080,12
1081,17
1082,15
1083,22
1084,0
1085,8
1086,21
1087,7
1088,26
1089,0
1090,20
1091,29
1092,3
1093,26
1094,12
1095,20
1096,11
1097,11
1098,23
1099,12
1100,24
1101,3
1102,31
1103,31
1104,0
1105,24
1106,7
1107,19
1108,9
1109,4
1110,20
1111,11
1112,19
1113,5
1114,28
1115,16
1116,3
1117,31
1118,5
1119,24
1120,10
1121,7
1122,31
1123,9
1124,16
1125,14
1126,31
1127,19
1128,9
1129,28
1130,2
1131,27
1132,5
1133,5
1134,24
1135,2
1136,23
1137,13
1138,17
1139,16
1140,14
1141,22
1142,1
1143,25
1144,6
1145,14
1146,26
1147,1
1148,29
1149,14
1150,18
1151,26
1152,13
1153,21
1154,10
1155,30
1156,4
1157,9
1158,17
1159,6
1160,30
1161,0
1162,17
1163,29
1164,6
1165,18
1166,8
1167,21
1168,15
1169,10
1170,18
1171,12
1172,29
1173,3
1174,26
1175,30
1176,4
1177,25
1178,11
1179,22
1180,30
1181,0
1182,21
1183,15
1184,18
1185,0
1186,12
1187,21
1188,3
1189,26
1190,4
1191,20
1192,25
1193,3
1194,30
1195,12
1196,16
1197,11
1198,15
1199,23
1200,8
1201,24
1202,7
1203,31
1204,27
1205,0
1206,28
1207,3
1208,19
1209,13
1210,4
1211,16
1212,11
1213,23
1214,5
1215,24
1216,16
1217,7
1218,31
1219,1
1220,24
1221,14
1222,7
1223,27
1224,9
1225,20
1226,14
1227,27
1228,19
1229,13
1230,28
1231,2
1232,31
1233,5
1234,1
1235,24
1236,6
1237,23
1238,9
1239,17
1240,20
1241,14
1242,18
1243,1
1244,29
1245,6
1246,10
1247,26
1248,5
1249,29
1250,10
1251,18
1252,30
1253,13
1254,17
1255,10
1256,30
1257,18
1258,9
1259,21
1260,6
1261,26
1262,0
1263,21
1264,29
1265,2
1266,18
1267,12
1268,21
1269,11
1270,10
1271,22
1272,12
1273,25
1274,3
1275,30
1276,30
1277,0
1278,25
1279,15
1280,22
1281,26
1282,4
1283,21
1284,11
1285,18
1286,4
1287,12
1288,17
1289,3
1290,30
1291,4
1292,16
1293,25
1294,7
1295,30
1296,8
1297,16
1298,15
1299,15
1300,19
1301,8
1302,28
1303,7
1304,27
1305,27
1306,4
1307,24
1308,3
1309,23
1310,13
1311,0
1312,16
1313,15
1314,23
1315,1
1316,24
1317,20
1318,7
1319,27
1320,1
1321,28
1322,14
1323,3
1324,27
1325,13
1326,20
1327,10
1328,27
1329,23
1330,13
1331,24
1332,6
1333,31
1334,1
1335,1
1336,28
1337,6
1338,19
1339,9
1340,21
1341,20
1342,10
1343,18
1344,5
1345,29
1346,2
1347,10
1348,30
1349,5
1350,25
1351,10
1352,22
1353,30
1354,9
1355,17
1356,14
1357,30
1358,0
1359,13
1360,21
1361,2
1362,26
1363,4
1364,21
1365,25
1366,2
1367,22
1368,12
1369,17
1370,11
1371,14
1372,22
1373,8
1374,25
1375,7
1376,30
1377,26
1378,0
1379,29
1380,15
1381,18
1382,30
1383,4
1384,17
1385,11
1386,22
1387,4
1388,8
1389,17
1390,7
1391,30
1392,0
1393,16
1394,31
1395,7
1396,26
1397,8
1398,20
1399,15
1400,11
1401,18
1402,12
1403,28
1404,3
1405,27
1406,31
1407,0
1408,24
1409,7
1410,23
1411,9
1412,0
1413,20
1414,15
1415,19
1416,1
1417,28
1418,20
1419,11
1420,27
1421,5
1422,28
1423,10
1424,3
1425,31
1426,13
1427,16
1428,10
1429,31
1430,23
1431,9
1432,16
1433,6
1434,27
1435,1
1436,5
1437,28
1438,2
1439,19
1440,13
1441,21
1442,16
1443,10
1444,22
1445,13
1446,25
1447,2
1448,14
1449,30
1450,1
1451,25
1452,14
1453,22
1454,26
1455,9
1456,21
1457,10
1458,18
1459,4
1460,13
